Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"226774751882",12A19770 | Lycoming O-540-A1D5 | PIPER PA-24-250 | BRACKE Eng mounting Dynafocal,,N7531P--12A19770--CTZ6BA,"1","FIXED_PRICE","USD",243.0,,,243.0,"0","1","","May-25-25 04:37:59 PDT","Mar-25-26 04:37:59 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226774751886",72152 / 71611 / 71610 | Lycoming O-540 | Intercylinder Baffle w / retainer Hook,,N7531P--72152-/-71611-/-71610--Z9YARI,"1","FIXED_PRICE","USD",153.0,,,153.0,"0","","","May-25-25 04:37:59 PDT","Mar-25-26 04:37:59 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226774751903","68761 | Lycoming O-540 | Oil Drain Tube For Cyl 3, 4, 5 & 6 Price is for Each",,N7531P--68761--XJFJSY,"3","FIXED_PRICE","USD",40.0,,,40.0,"0","3","","May-25-25 04:38:02 PDT","Mar-25-26 04:38:02 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226774756094",72152 / 71611 / 71610 | Lycoming O-540 | Intercylinder Baffle w / retainer Hook,,N7531P--72152-/-71611-/-71610--7IAJ27,"1","FIXED_PRICE","USD",153.0,,,153.0,"0","","","May-25-25 04:43:11 PDT","Mar-25-26 04:43:11 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226774756644",LW-12098-0 | Lycoming O-540 | PIPER PA-24-250 | Primer Tubes Assy Sold as a set,,N7531P--LW-12098-0--RWGUK4,"1","FIXED_PRICE","USD",283.0,,,283.0,"0","2","0","May-25-25 04:43:56 PDT","Mar-25-26 04:43:56 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787595614",820307-903 | Mooney M20J | RCA Transistor,,N8201R--820307-903--HVHIJP,"1","FIXED_PRICE","USD",85.5,,,85.5,"0","","","May-31-25 06:41:04 PDT","Mar-31-26 06:41:04 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787851290",2415009-4 | Cessna 172RG | Armrest Assy-  Armrest Support RH,,N9795B--2415009-4--HYANYS,"1","FIXED_PRICE","USD",192.85,,,192.85,"0","","","May-31-25 08:48:29 PDT","Mar-31-26 08:48:29 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787889294",3-200-12 | PIPER PA-24-250 | UMA Cessna Suction Gauge,,N7531P--3-200-12--AB5D2Q,"1","FIXED_PRICE","USD",124.0,,,124.0,"0","1","","May-31-25 09:25:08 PDT","Mar-31-26 09:25:08 PDT","Indicators","90977","","","Used","","","","","","US","Does Not Apply","",""
"226787889321",5035P | United Instruments | PIPER PA-24-250 | Encoding Altimeter Indicator,,N7531P--5035P--KKUGZB,"1","FIXED_PRICE","USD",343.9,,,343.9,"0","","","May-31-25 09:25:11 PDT","Mar-31-26 09:25:11 PDT","Indicators","90977","","","Used","","","","","","US","Does Not Apply","",""
"226787889349",21699-000 | PIPER PA-24-250 | Nose Gear Switch Bracket,,N7531P--21699-000--N0NWG6,"1","FIXED_PRICE","USD",64.6,,,64.6,"0","","","May-31-25 09:25:13 PDT","Mar-31-26 09:25:13 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787889379",754-429 | PIPER PA-24-250 | Nose Gear Drag Link Assembly LH,,N7531P--754-429--7LUVZY,"1","FIXED_PRICE","USD",407.55,,,407.55,"0","","","May-31-25 09:25:16 PDT","Mar-31-26 09:25:16 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787889443",20845-000 /  18081-000 / 31322-07 | PIPER PA-24-250 | Bungee - Roller - Bracker.,,N7531P--20845-000-/--18081-000-/-31322-07--A92M0U,"1","FIXED_PRICE","USD",96.9,,,96.9,"0","","","May-31-25 09:25:22 PDT","Mar-31-26 09:25:22 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
