Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,12405 Northwest 39th Avenue,X60
169-130005-1-beechcraft-a23a-musketeer-custom-iii-aileron-assembly-lh,169-130005-1 | Beechcraft A23A Musketeer Custom III | AILERON ASSEMBLY LH,Title,Default Title,,,,,N16TH--169-130005-1--UWIO4YWBQZQ0OVBV1AYY3V,,,1,not stocked
169-640000-97-beechcraft-a23a-musketeer-custom-iii-vertical-stabilizer-tip,169-640000-97 | Beechcraft A23A Musketeer Custom III | VERTICAL STABILIZER TIP,Title,Default Title,,,,,N16TH--169-640000-97--N74ZDBWGGRFWZES1YOECZA,,,1,not stocked
169-640000-89-beechcraft-a23a-musketeer-custom-iii-rudder-tip-assembly,169-640000-89 | Beechcraft A23A Musketeer Custom III | RUDDER TIP ASSEMBLY,Title,Default Title,,,,,N16TH--169-640000-89--V2VJBGRSPGLLTIXGGWLEWU,,,1,not stocked
169-440013-11-beechcraft-a23a-musketeer-custom-iii-dorsal-fin-some-crack-in-holes-see-photos,"169-440013-11 | Beechcraft A23A Musketeer Custom III | DORSAL FIN SOME CRACK IN HOLES - SEE PHOTOS""",Title,Default Title,,,,,N16TH--169-440013-11--LL5VPZ8G0OUZ3HCOINZTYG,,,1,not stocked
169-640000-661-beechcraft-a23a-musketeer-custom-iii-rudder-assembly-1,169-640000-661 | Beechcraft A23A Musketeer Custom III | RUDDER ASSEMBLY,Title,Default Title,,,,,N16TH--169-640000-661--LAMY7TJVFBXJ5IQJMI3SUA,,,1,not stocked
169-440013-659-beechcraft-a23a-musketeer-custom-iii-forward-dorsal-fin-fairing-assembly,169-440013-659 | Beechcraft A23A Musketeer Custom III | FORWARD DORSAL FIN FAIRING ASSEMBLY,Title,Default Title,,,,,N16TH--169-440013-659--XCIVRQ0CBUKVZBSCK757ZF,,,1,not stocked
069-1024-12-bendix-king-kx-155-beechcraft-a23a-musketeer-custom-iii-nav-com-14v-w-gs-core-needs-repair,069-1024-12 | Bendix King KX 155 | Beechcraft A23A Musketeer Custom III | NAV/COM - 14V W/GS - CORE-NEEDS REPAIR,Title,Default Title,,,,,N16TH--069-1024-12--O5OQIZFBYT1OBNITBDMDMA,,,1,not stocked
169-380036-3-beechcraft-a23a-musketeer-custom-iii-engine-gauge-cluster-assembly,169-380036-3 | Beechcraft A23A Musketeer Custom III | ENGINE GAUGE CLUSTER ASSEMBLY,Title,Default Title,,,,,N16TH--169-380036-3--3MOQWOQZEXAVATMIKKSQZX,,,1,not stocked
c17325-beechcraft-a23a-musketeer-custom-iii-flashing-beacon-dome-lens,C17325 | Beechcraft A23A Musketeer Custom III | FLASHING BEACON DOME LENS,Title,Default Title,,,,,N16TH--C17325--0LKND4I9LHRBIHWEMSGZZV,,,1,not stocked
10-357210-1-e-bendix-beechcraft-a23a-musketeer-custom-iii-ignition-switch-and-key,10-357210-1-E | Bendix | Beechcraft A23A Musketeer Custom III | IGNITION SWITCH AND KEY,Title,Default Title,,,,,N16TH--10-357210-1-E--TB0UJJ5JOVUXGQHGVDQGCF,,,1,not stocked
